Temps 	Amplitude 

0   0

4.3792E-6	69.8489

4.3976E-6	69.9365

4.416E-6	69.9582

4.4344E-6	69.9657

4.4528E-6	69.8359

4.4712E-6	69.6931

4.4896E-6	69.6426

4.508E-6	69.6518

4.5264E-6	69.6559

4.5448E-6	69.6167

4.5632E-6	69.7112

4.5816E-6	69.6804

4.6E-6	69.5539

4.6184E-6	69.5884

4.6368E-6	69.7366

4.6552E-6	69.858

4.6736E-6	69.9308

4.692E-6	69.8995

4.7104E-6	69.5748

4.7288E-6	69.2624

4.7472E-6	69.2844

4.7656E-6	69.3728

4.784E-6	69.2894

4.8024E-6	69.1746

4.8208E-6	69.0256

4.8392E-6	69.1198

4.8576E-6	69.4653

4.876E-6	69.9501

4.8944E-6	70.1892

4.9128E-6	70.174

4.9312E-6	69.9335

4.9496E-6	69.6538

4.968E-6	69.4855

4.9864E-6	69.3815

5.0048E-6	69.2845

5.0232E-6	69.1927

5.0416E-6	69.1155

5.06E-6	69.1797

5.0784E-6	69.4469

5.0968E-6	69.7087

5.1152E-6	69.7755

5.1336E-6	69.5832

5.152E-6	69.2889

5.1704E-6	69.2544

5.1888E-6	69.3869

5.2072E-6	69.6048

5.2256E-6	69.667

5.244E-6	69.7149

5.2624E-6	69.7949

5.2808E-6	70.0083

5.2992E-6	70.2346

5.3176E-6	70.2445

5.336E-6	70.0217

5.3544E-6	69.8149

5.3728E-6	69.8067

5.3912E-6	70.0178

5.4096E-6	70.2354

5.428E-6	70.2911

5.4464E-6	70.064

5.4648E-6	69.6853

5.4832E-6	69.3928

5.5016E-6	69.2618

5.52E-6	69.2716

5.5384E-6	69.3538

5.5568E-6	69.3504

5.5752E-6	69.3838

5.5936E-6	69.4567

5.612E-6	69.5921

5.6304E-6	69.7047

5.6488E-6	69.867

5.6672E-6	70.0739

5.6856E-6	70.3223

5.704E-6	70.481

5.7224E-6	70.3219

5.7408E-6	69.8358

5.7592E-6	69.4255

5.7776E-6	69.3783

5.796E-6	69.6437

5.8144E-6	69.9351

5.8328E-6	70.0432

5.8512E-6	69.8472

5.8696E-6	69.5375

5.888E-6	69.266

5.9064E-6	69.1737

5.9248E-6	69.2639

5.9432E-6	69.5368

5.9616E-6	69.7165

5.98E-6	69.6305

5.9984E-6	69.2303

6.0168E-6	69.0053

6.0352E-6	69.1836

6.0536E-6	69.7085

6.072E-6	70.1887

6.0904E-6	70.3539

6.1088E-6	70.12

6.1272E-6	69.7825

6.1456E-6	69.6313

6.164E-6	69.7559

6.1824E-6	69.9902

6.2008E-6	70.1495

6.2192E-6	70.0605

6.2376E-6	69.8872

6.256E-6	69.7432

6.2744E-6	69.7135

6.2928E-6	69.7403

6.3112E-6	69.6824

6.3296E-6	69.3529

6.348E-6	69.1353

6.3664E-6	69.2439

6.3848E-6	69.615

6.4032E-6	69.9015

6.4216E-6	70.0686

6.44E-6	70.1151

6.4584E-6	70.1133

6.4768E-6	70.0841

6.4952E-6	70.0212

6.5136E-6	69.8384

6.532E-6	69.7047

6.5504E-6	69.7069

6.5688E-6	69.7643

6.5872E-6	69.7392

6.6056E-6	69.7724

6.624E-6	69.8749

6.6424E-6	70.015

6.6608E-6	70.0433

6.6792E-6	70.0337

6.6976E-6	69.9306

6.716E-6	69.9519

6.7344E-6	70.0785

6.7528E-6	70.3399

6.7712E-6	70.5483
